DATE,AAPL,AMZN,BA,DWDP,JNJ,JPM,NEE,PG,SPG,VZ,XOM
6/22/1990,0.168809316,NaN,16.96775449,3.105358054,4.491661189,3.597148164,2.432896898,5.477202417,NaN,6.634896863,1.921735478
6/25/1990,0.165343142,NaN,16.435296,3.149500815,4.408174147,3.510261179,2.384433457,5.364763921,NaN,6.503187728,1.887418704
6/26/1990,0.166333424,NaN,16.54178901,3.084697881,4.39982552,3.475506932,2.365047636,5.380827021,NaN,6.552579737,1.858003149
6/27/1990,0.166334153,NaN,16.683786,2.974529368,4.458268818,3.545015,2.37474082,5.38886109,NaN,6.618436738,1.882516
6/28/1990,0.171284129,NaN,16.8257668,2.993969349,4.550103628,3.579771,2.384433639,5.525389178,NaN,6.634898436,1.89232
6/29/1990,0.177720121,NaN,16.7547726,3.019891424,4.558453262,3.597147574,2.384432816,5.62176528,NaN,6.601970157,1.897223546
7/2/1990,0.176234143,NaN,16.86126279,2.97452835,4.65029,3.57976991,2.384433639,5.66995,NaN,6.684289,1.872712
7/3/1990,0.176234143,NaN,17.03874879,2.987489,4.666989088,3.597147574,2.37474082,5.718135446,NaN,6.712939993,1.877614551
7/5/1990,0.175244274,NaN,17.10973704,2.981009437,4.633591508,3.562394,2.374740455,5.645854174,NaN,6.612998305,1.85310154
7/6/1990,0.178215132,NaN,17.28724225,2.974528374,4.625242439,3.57976991,2.335968817,5.718136,NaN,6.496397282,1.872712
7/9/1990,0.186135025,NaN,17.28723259,2.955087733,4.608545068,3.57976991,2.335968632,5.750258174,NaN,6.46308004,1.872712164
7/10/1990,0.188115255,NaN,17.14524722,2.922685439,4.575150257,3.545017212,2.306889814,5.742228713,NaN,6.379791997,1.858003925
7/11/1990,0.186135,NaN,17.464737,3.026373016,4.692034075,3.510260581,2.297197818,5.750258174,NaN,6.313161004,1.877614
7/12/1990,0.188115119,NaN,17.42922179,3.045814664,4.733779,3.405996672,2.306889814,5.862696272,NaN,6.229875221,1.93154
7/13/1990,0.189105289,NaN,17.53571398,3.091176,4.800569991,3.458129345,2.316582815,5.854659666,NaN,6.263190257,1.956051462
7/16/1990,0.186630558,NaN,17.57121138,3.117098363,4.775523083,3.423375569,2.326276,5.843689975,NaN,6.313162518,1.926637154
7/17/1990,0.182174554,NaN,17.39372824,3.104138027,4.767173631,3.4928842,2.326276,5.835613943,NaN,6.329820797,1.911930386
7/18/1990,0.178215142,NaN,17.10974741,3.078215714,4.792221454,3.475506932,2.32627563,5.803325694,NaN,6.129927959,1.907027384
7/19/1990,0.168314284,NaN,16.7902694,3.065255,4.859011,3.475506932,2.316582815,5.754901956,NaN,6.163243,1.960954
7/20/1990,0.168313427,NaN,16.96775864,3.104138027,4.950847336,3.440750245,2.316582629,5.746830565,NaN,6.296505259,1.960954242
7/23/1990,0.165344021,NaN,16.43529744,3.071736103,4.825615151,3.353861561,2.306889814,5.698401686,NaN,6.26318747,1.936442637
7/24/1990,0.167324121,NaN,16.15132,2.799556819,4.808918,3.371240589,2.306889438,5.625761394,NaN,6.246533,1.965856385
7/25/1990,0.171284299,NaN,16.57727939,2.747711406,4.909103631,3.353863,2.306889814,5.625759171,NaN,6.32981922,1.965856542
7/26/1990,0.168314316,NaN,16.89676019,2.741231357,4.934149257,3.353863337,2.306889814,5.609615,NaN,6.346477519,1.951148685
7/27/1990,0.165344031,NaN,17.03874228,2.734752,4.900754522,3.319106566,2.316583,5.609615334,NaN,6.263191307,1.975661472
7/30/1990,0.16831401,NaN,16.648287,2.741232012,4.817267267,3.249598,2.345662,5.609615,NaN,6.363134517,1.990368
7/31/1990,0.169304282,NaN,16.75477096,2.728272452,4.792221359,3.284351466,2.423204082,5.682258905,NaN,6.57968,2.039391383
8/1/1990,0.16930414,NaN,16.4707963,2.682908448,4.725430635,3.162712243,2.41350981,5.593471487,NaN,6.696282251,2.06880693
8/2/1990,0.173264128,NaN,15.76084539,2.579220447,4.641939876,3.058444403,2.394126459,5.415901038,NaN,6.612999038,2.157050423
8/3/1990,0.173263821,NaN,15.334881,2.540339,4.558454543,2.98893483,2.374740083,5.181832781,NaN,6.513052303,2.157050824
8/6/1990,0.160393409,NaN,14.73142347,2.404248585,4.333037742,2.988935671,2.316582815,4.988119071,NaN,6.213216762,2.161951694
8/7/1990,0.160888419,NaN,14.94440601,2.41720836,4.391478272,3.127954,2.306890636,5.00426178,NaN,6.313162548,2.190213
8/8/1990,0.161383154,NaN,15.19289669,2.410729236,4.533405883,3.266974,2.316582629,5.173761391,NaN,6.229873731,2.154307826
8/9/1990,0.160393409,NaN,15.58336525,2.430169854,4.516709901,3.319106242,2.297197,5.238332782,NaN,6.196559247,2.138919607
8/10/1990,0.155443151,NaN,15.47686497,2.404249104,4.508359962,3.284354,2.297196626,5.206047347,NaN,6.179902997,2.149178831
8/13/1990,0.158413009,NaN,15.19322423,2.358885506,4.500011,3.336488,2.287503813,5.278689,NaN,6.163244515,2.149179
8/14/1990,0.158413018,NaN,15.26455107,2.352403553,4.550106275,3.405995583,2.297197818,5.407829094,NaN,6.229874503,2.154306603
8/15/1990,0.159403299,NaN,15.12189422,2.345923854,4.657008044,3.388616793,2.316582629,5.440116335,NaN,6.263188759,2.149177909
8/16/1990,0.156928427,NaN,15.01490159,2.320003385,4.573095,3.266975591,2.306889438,5.359400335,NaN,6.146589765,2.15943713
8/17/1990,0.152472708,NaN,14.12328591,2.27463973,4.497578034,3.23222067,2.287503813,5.141473711,NaN,6.113271482,2.164566523
8/20/1990,0.162199014,NaN,13.90929673,2.261679369,4.464016092,3.214842585,2.277811,5.149547696,NaN,6.113275017,2.174824607
8/21/1990,0.158955645,NaN,13.48130751,2.320003385,4.346539014,3.162708905,2.268119455,4.996191306,NaN,5.996670247,2.18508334
8/22/1990,0.160037071,NaN,13.33865806,2.313522842,4.363322072,3.162711611,2.268118895,4.95583318,NaN,5.996671004,2.144048112
8/23/1990,0.151385635,NaN,12.62535274,2.183912728,4.145156029,3.058444835,2.180883632,4.681407311,NaN,5.646863196,2.092755325
8/24/1990,0.155711645,NaN,13.33864987,2.190393716,4.195502016,3.041068268,2.171189622,4.673333551,NaN,5.563579274,2.051721739
8/27/1990,0.164362383,NaN,13.9806172,2.281120756,4.363323017,3.023691677,2.267616438,4.939690952,NaN,5.763467511,2.041462302
8/28/1990,0.165984383,NaN,13.83796023,2.20983624,4.405277027,3.02369026,2.237244277,4.988115769,NaN,5.663524538,2.061979302
8/29/1990,0.164902651,NaN,14.05194231,2.209835352,4.464015023,2.971556913,2.237244277,5.060763573,NaN,5.796781247,2.067110223
8/30/1990,0.162199672,NaN,14.05194774,2.203354449,4.455622019,2.971556913,2.227123871,5.044618852,NaN,5.763464888,2.046592435
8/31/1990,0.161118262,NaN,13.83795868,2.177434,4.405278,3.023691677,2.206876,4.971973,NaN,5.696836,2.051721
9/4/1990,0.162199644,NaN,13.90928383,2.222796508,4.438839,3.058447,2.206876,5.020403388,NaN,5.646866,2.061979302
9/5/1990,0.16111765,NaN,14.01627748,2.242237841,4.480794,3.127954,2.227121,5.068831717,NaN,5.730153034,2.092756305
9/6/1990,0.155711259,NaN,13.83796047,2.17095272,4.413668031,3.127953904,2.227123288,5.004260098,NaN,5.61355512,2.108144442
