DATE,AAPL,AMZN,BA,DWDP,JNJ,JPM,NEE,PG,SPG,VZ,XOM
5/23/1990,0.163363718,NaN,15.00356994,3.205732998,4.115966914,3.629671969,2.362205872,5.051556633,NaN,6.848929501,1.853102612
5/24/1990,0.164353849,NaN,15.42953857,3.180639647,4.141013197,3.629671969,2.403818368,5.05958682,NaN,6.766605579,1.8482
5/25/1990,0.154452705,NaN,15.40587817,3.168094,4.174407186,3.646629592,2.403817,4.979273826,NaN,6.717217,1.818784616
5/29/1990,0.155442446,NaN,15.2875466,3.155545255,4.19110449,3.680554971,2.403819181,4.987307278,NaN,6.717217788,1.823687528
5/30/1990,0.163363879,NaN,15.35853775,3.168092647,4.241199906,3.680554971,2.413511184,5.139897561,NaN,6.78307184,1.862907225
5/31/1990,0.162372984,NaN,15.42953374,3.124181,4.257896184,3.697515782,2.423204545,5.252333365,NaN,6.7995398,1.867808844
6/1/1990,0.161383,NaN,15.68985295,3.124179641,4.257895739,3.697515514,2.442590182,5.308546831,NaN,6.799535703,1.858004838
6/4/1990,0.157422712,NaN,16.04482818,3.130451256,4.257897006,3.748397547,2.432896121,5.268393474,NaN,6.750149987,1.867808083
6/5/1990,0.154452851,NaN,16.09216885,3.243374291,4.349734182,3.867124987,2.481360187,5.268390916,NaN,6.816003673,1.882515233
6/6/1990,0.153462832,NaN,16.02116219,3.268469646,4.291291551,3.850164573,2.452282185,5.188082649,NaN,6.717219477,1.867809227
6/7/1990,0.152472849,NaN,15.80817719,3.249649284,4.27459337,3.833202987,2.452282369,5.196113476,NaN,6.717214302,1.858004228
6/8/1990,0.148511843,NaN,15.52419565,3.224553349,4.199453187,3.816241985,2.423204183,5.123835819,NaN,6.733682133,1.833491234
6/11/1990,0.149502567,NaN,15.72534801,3.199461637,4.216154258,3.823057743,2.432896555,5.139896296,NaN,6.75014357,1.843297295
6/12/1990,0.15346244,NaN,16.39979841,3.205732998,4.232848425,3.7535487,2.423203922,5.204143763,NaN,6.750143695,1.882515315
6/13/1990,0.157423,NaN,16.50628789,3.174367639,4.299639556,3.736168333,2.452283,5.348706817,NaN,6.799541324,1.877613231
6/14/1990,0.155442853,NaN,16.89676002,3.136726291,4.266245,3.614525181,2.44258937,5.268394114,NaN,6.750143845,1.872710847
6/15/1990,0.15494786,NaN,17.00325221,3.136726291,4.23285046,3.579771728,2.432896555,5.340676081,NaN,6.684292678,1.867809227
6/18/1990,0.15445287,NaN,16.61278241,3.124181,4.224500185,3.579770666,2.413512,5.300521,NaN,6.585509,1.858003616
6/19/1990,0.151977576,NaN,16.47079993,3.111633988,4.224499745,3.579771071,2.413512,5.276425924,NaN,6.486728095,1.848200224
6/20/1990,0.157422982,NaN,16.32880004,3.042625284,4.266245103,3.54501633,2.413511184,5.36476375,NaN,6.48672427,1.848199681
6/21/1990,0.158413295,NaN,16.32880322,3.042623648,4.341385366,3.475505821,2.403818368,5.300519193,NaN,6.536115969,1.867808915
6/22/1990,0.163363868,NaN,16.18681182,3.055170349,4.366429,3.492883,2.37474,5.348705,NaN,6.322085562,1.872711614
6/25/1990,0.159402716,NaN,16.2223116,3.052294,4.307988371,3.371240662,2.335969362,5.244297665,NaN,6.404405137,1.853102
6/26/1990,0.159897873,NaN,16.18681499,2.961568981,4.333035,3.405997068,2.345662,5.26839183,NaN,6.453797135,1.838393617
6/27/1990,0.159403563,NaN,16.08032991,2.929166279,4.349734184,3.440749853,2.345662361,5.252332567,NaN,6.42087148,1.843296917
6/28/1990,0.165343576,NaN,16.50629021,2.948606281,4.458266674,3.475505821,2.35535518,5.404922844,NaN,6.552579699,1.872710466
6/29/1990,0.169304392,NaN,16.612783,2.968048,4.483313923,3.527637336,2.365047184,5.501298881,NaN,6.503187568,1.877614
7/2/1990,0.173263873,NaN,16.57728363,2.955086988,4.508360144,3.527637336,2.345662361,5.565545822,NaN,6.519651545,1.85310245
7/3/1990,0.173263873,NaN,16.86126182,2.96156698,4.625245,3.492882426,2.35535518,5.645855644,NaN,6.629653,1.853102612
7/5/1990,0.171283983,NaN,16.825758,2.929166,4.533405746,3.492883737,2.326276364,5.605698739,NaN,6.446424248,1.833492
7/6/1990,0.171284544,NaN,16.82577583,2.929165299,4.533405495,3.51026009,2.316583183,5.605700742,NaN,6.429767474,1.833492901
7/9/1990,0.177224319,NaN,17.07424821,2.896763633,4.558452186,3.475504763,2.287504552,5.694040566,NaN,6.396450257,1.848200224
7/10/1990,0.185144983,NaN,16.86126797,2.870842,4.525057371,3.405997068,2.287504186,5.661917822,NaN,6.296505,1.833492
7/11/1990,0.181184695,NaN,17.00327037,2.883802778,4.558453034,3.423372668,2.277812182,5.694040566,NaN,6.079956996,1.838394909
7/12/1990,0.184154722,NaN,17.14524262,2.974529539,4.641942018,3.319108728,2.268118557,5.742229911,NaN,6.013328971,1.882516142
7/13/1990,0.185145,NaN,17.21623741,3.039332274,4.708733,3.388619072,2.28750437,5.782379917,NaN,6.129930707,1.907027615
7/16/1990,0.179204861,NaN,17.25173481,3.078215637,4.717081367,3.336488,2.29719755,5.779118815,NaN,6.196560486,1.902125231
7/17/1990,0.174253984,NaN,17.03875419,3.058774635,4.683685476,3.3364864,2.306890367,5.730685891,NaN,6.063302245,1.877613686
7/18/1990,0.170294422,NaN,16.8257682,3.026372286,4.725430911,3.405997068,2.28750437,5.698397691,NaN,6.013326276,1.887417848
7/19/1990,0.158413411,NaN,16.32880322,3.019891612,4.742127574,3.423374326,2.297197185,5.698402218,NaN,5.980011571,1.897222995
7/20/1990,0.161382873,NaN,16.470795,3.058774635,4.84231274,3.336485086,2.287504186,5.714545,NaN,6.113273741,1.902125614
7/23/1990,0.158413431,NaN,15.12189354,2.993970632,4.625243588,3.284351341,2.277811371,5.488545533,NaN,5.996668785,1.872711614
7/24/1990,0.162373689,NaN,15.72535112,2.682908618,4.708732208,3.28435308,2.268118187,5.52890467,NaN,6.029986741,1.90212538
